(225, 19)
(395, 21)
(56, 23)
(27, 25)
(51, 25)
(61, 27)
(182, 27)
(218, 29)
(246, 29)
(391, 29)
(432, 29)
(4, 30)
(11, 30)
(94, 30)
(277, 30)
(29, 31)
(209, 31)
(219, 31)
(396, 31)
(446, 31)
(17, 32)
(158, 32)
(224, 32)
(254, 32)
(312, 32)
(19, 33)
(168, 33)
(204, 33)
(230, 33)
(421, 33)
(236, 34)
(285, 34)
(434, 34)
(132, 35)
(145, 35)
(235, 35)
(417, 35)
(426, 35)
(172, 36)
(231, 36)
(233, 36)
(264, 36)
(384, 36)
(55, 37)
(92, 37)
(122, 37)
(146, 37)
(164, 37)
(287, 37)
(362, 37)
(436, 37)
(21, 38)
(49, 38)
(73, 38)
(234, 38)
(313, 38)
(437, 38)
(43, 39)
(67, 39)
(157, 39)
(165, 39)
(220, 39)
(272, 39)
(365, 39)
(375, 39)
(425, 39)
(68, 40)
(85, 40)
(91, 40)
(131, 40)
(139, 40)
(247, 40)
(283, 40)
(387, 40)
(392, 40)
(47, 41)
(64, 41)
(87, 41)
(113, 41)
(115, 41)
(119, 41)
(173, 41)
(279, 41)
(301, 41)
(359, 41)
(3, 42)
(5, 42)
(65, 42)
(75, 42)
(134, 42)
(148, 42)
(186, 42)
(197, 42)
(243, 42)
(251, 42)
(281, 42)
(339, 42)
(342, 42)
(373, 42)
(397, 42)
(406, 42)
(435, 42)
(447, 42)
(2, 43)
(38, 43)
(58, 43)
(150, 43)
(153, 43)
(201, 43)
(269, 43)
(294, 43)
(302, 43)
(318, 43)
(327, 43)
(344, 43)
(419, 43)
(18, 44)
(20, 44)
(23, 44)
(84, 44)
(103, 44)
(110, 44)
(128, 44)
(163, 44)
(176, 44)
(240, 44)
(244, 44)
(304, 44)
(348, 44)
(370, 44)
(389, 44)
(59, 45)
(76, 45)
(166, 45)
(367, 45)
(398, 45)
(404, 45)
(34, 46)
(105, 46)
(135, 46)
(194, 46)
(307, 46)
(309, 46)
(316, 46)
(346, 46)
(360, 46)
(408, 46)
(415, 46)
(418, 46)
(443, 46)
(70, 47)
(107, 47)
(211, 47)
(232, 47)
(261, 47)
(266, 47)
(271, 47)
(317, 47)
(333, 47)
(341, 47)
(363, 47)
(372, 47)
(402, 47)
(430, 47)
(431, 47)
(8, 48)
(39, 48)
(193, 48)
(205, 48)
(221, 48)
(306, 48)
(328, 48)
(361, 48)
(390, 48)
(412, 48)
(433, 48)
(448, 48)
(1, 49)
(90, 49)
(160, 49)
(162, 49)
(180, 49)
(184, 49)
(202, 49)
(210, 49)
(248, 49)
(280, 49)
(351, 49)
(354, 49)
(381, 49)
(30, 50)
(37, 50)
(69, 50)
(74, 50)
(141, 50)
(147, 50)
(161, 50)
(187, 50)
(191, 50)
(192, 50)
(206, 50)
(208, 50)
(290, 50)
(440, 50)
(44, 51)
(88, 51)
(97, 51)
(120, 51)
(178, 51)
(227, 51)
(241, 51)
(268, 51)
(284, 51)
(335, 51)
(340, 51)
(374, 51)
(411, 51)
(414, 51)
(117, 52)
(143, 52)
(170, 52)
(183, 52)
(190, 52)
(196, 52)
(199, 52)
(238, 52)
(291, 52)
(353, 52)
(356, 52)
(422, 52)
(32, 53)
(71, 53)
(78, 53)
(124, 53)
(216, 53)
(222, 53)
(282, 53)
(288, 53)
(289, 53)
(298, 53)
(337, 53)
(407, 53)
(413, 53)
(445, 53)
(16, 54)
(31, 54)
(45, 54)
(53, 54)
(81, 54)
(213, 54)
(214, 54)
(245, 54)
(262, 54)
(299, 54)
(315, 54)
(320, 54)
(323, 54)
(382, 54)
(383, 54)
(427, 54)
(63, 55)
(82, 55)
(89, 55)
(99, 55)
(129, 55)
(188, 55)
(255, 55)
(303, 55)
(345, 55)
(399, 55)
(400, 55)
(401, 55)
(438, 55)
(13, 56)
(36, 56)
(98, 56)
(112, 56)
(118, 56)
(133, 56)
(195, 56)
(257, 56)
(258, 56)
(265, 56)
(332, 56)
(349, 56)
(366, 56)
(385, 56)
(409, 56)
(428, 56)
(26, 57)
(79, 57)
(100, 57)
(114, 57)
(169, 57)
(212, 57)
(229, 57)
(273, 57)
(347, 57)
(10, 58)
(179, 58)
(189, 58)
(308, 58)
(364, 58)
(369, 58)
(379, 58)
(388, 58)
(393, 58)
(403, 58)
(416, 58)
(40, 59)
(46, 59)
(83, 59)
(109, 59)
(137, 59)
(263, 59)
(324, 59)
(371, 59)
(439, 59)
(442, 59)
(28, 60)
(72, 60)
(102, 60)
(123, 60)
(177, 60)
(203, 60)
(297, 60)
(424, 60)
(48, 61)
(155, 61)
(256, 61)
(259, 61)
(311, 61)
(322, 61)
(441, 61)
(22, 62)
(41, 62)
(104, 62)
(127, 62)
(330, 62)
(394, 62)
(60, 63)
(101, 63)
(106, 63)
(126, 63)
(249, 63)
(352, 63)
(152, 64)
(296, 64)
(350, 64)
(9, 65)
(33, 65)
(410, 65)
(200, 66)
(207, 66)
(267, 66)
(343, 66)
(368, 66)
(95, 67)
(156, 67)
(429, 67)
(93, 68)
(175, 68)
(420, 69)
(7, 70)
(138, 70)
(253, 70)
(260, 71)
(6, 73)
(154, 73)
(405, 73)
(305, 74)
(275, 76)
(57, 78)
