(119, 76, c2)
(113, 75, c2)
(389, 71, c5)
(439, 71, c5)
(236, 70, c3)
(261, 70, c3)
(416, 70, c5)
(146, 69, c2)
(28, 68, c1)
(93, 67, c2)
(152, 67, c2)
(185, 66, c3)
(202, 66, c3)
(279, 66, c4)
(284, 66, c4)
(384, 66, c5)
(401, 66, c5)
(12, 65, c1)
(17, 65, c1)
(103, 65, c2)
(219, 65, c3)
(234, 65, c3)
(381, 65, c5)
(397, 65, c5)
(421, 65, c5)
(426, 65, c5)
(141, 64, c2)
(196, 64, c3)
(282, 64, c4)
(339, 64, c4)
(343, 64, c4)
(408, 64, c5)
(6, 63, c1)
(254, 63, c3)
(341, 63, c4)
(371, 63, c5)
(422, 63, c5)
(26, 62, c1)
(52, 62, c1)
(140, 62, c2)
(191, 62, c3)
(247, 62, c3)
(345, 62, c4)
(370, 62, c5)
(396, 62, c5)
(443, 62, c5)
(449, 62, c5)
(197, 61, c3)
(259, 61, c3)
(376, 61, c5)
(386, 61, c5)
(186, 60, c3)
(192, 60, c3)
(195, 60, c3)
(245, 60, c3)
(433, 60, c5)
(2, 59, c1)
(99, 59, c2)
(102, 59, c2)
(115, 59, c2)
(117, 59, c2)
(137, 59, c2)
(227, 59, c3)
(281, 59, c4)
(303, 59, c4)
(361, 59, c4)
(410, 59, c5)
(37, 58, c1)
(56, 58, c1)
(212, 58, c3)
(243, 58, c3)
(244, 58, c3)
(250, 58, c3)
(252, 58, c3)
(268, 58, c3)
(277, 58, c4)
(293, 58, c4)
(331, 58, c4)
(334, 58, c4)
(338, 58, c4)
(352, 58, c4)
(436, 58, c5)
(437, 58, c5)
(444, 58, c5)
(42, 57, c1)
(58, 57, c1)
(125, 57, c2)
(177, 57, c3)
(193, 57, c3)
(223, 57, c3)
(309, 57, c4)
(320, 57, c4)
(392, 57, c5)
(394, 57, c5)
(446, 57, c5)
(33, 56, c1)
(46, 56, c1)
(182, 56, c3)
(283, 56, c4)
(307, 56, c4)
(317, 56, c4)
(412, 56, c5)
(23, 55, c1)
(34, 55, c1)
(53, 55, c1)
(108, 55, c2)
(205, 55, c3)
(230, 55, c3)
(275, 55, c4)
(372, 55, c5)
(420, 55, c5)
(427, 55, c5)
(429, 55, c5)
(432, 55, c5)
(16, 54, c1)
(43, 54, c1)
(69, 54, c1)
(73, 54, c1)
(89, 54, c2)
(116, 54, c2)
(147, 54, c2)
(166, 54, c2)
(183, 54, c3)
(235, 54, c3)
(346, 54, c4)
(356, 54, c4)
(363, 54, c4)
(407, 54, c5)
(50, 53, c1)
(84, 53, c2)
(164, 53, c2)
(180, 53, c3)
(218, 53, c3)
(419, 53, c5)
(7, 52, c1)
(40, 52, c1)
(47, 52, c1)
(63, 52, c1)
(77, 52, c1)
(101, 52, c2)
(122, 52, c2)
(123, 52, c2)
(136, 52, c2)
(151, 52, c2)
(201, 52, c3)
(253, 52, c3)
(291, 52, c4)
(365, 52, c4)
(5, 51, c1)
(51, 51, c1)
(82, 51, c1)
(95, 51, c2)
(107, 51, c2)
(153, 51, c2)
(206, 51, c3)
(249, 51, c3)
(298, 51, c4)
(302, 51, c4)
(344, 51, c4)
(413, 51, c5)
(451, 51, c5)
(25, 50, c1)
(49, 50, c1)
(70, 50, c1)
(135, 50, c2)
(174, 50, c2)
(181, 50, c3)
(208, 50, c3)
(229, 50, c3)
(271, 50, c3)
(311, 50, c4)
(335, 50, c4)
(342, 50, c4)
(353, 50, c4)
(72, 49, c1)
(105, 49, c2)
(144, 49, c2)
(157, 49, c2)
(165, 49, c2)
(172, 49, c2)
(209, 49, c3)
(226, 49, c3)
(237, 49, c3)
(273, 49, c4)
(312, 49, c4)
(327, 49, c4)
(373, 49, c5)
(414, 49, c5)
(441, 49, c5)
